CODIGO,TITULO
10105,General Officer of the Air Force
10110,General Officer of the Army
10115,Navy General Officer
10205,Air Force Officer
10210,Army Officer
10215,Navy Officer
10305,Aeronautics Square
10310,Army Square
10315,Navy Square
20105,Colonel of the military police
20110,Lieutenant Colonel of the Military Police
20115,Major of the military police
20205,Captain of the military police
20305,First lieutenant of military police
20310,Second lieutenant of military police
21105,Military police warrant officer
21110,Sergeant of the military police
21205,Military police corporal
21210,Military police soldier
30105,Military firefighter colonel
30110,Major military firefighter
30115,Lieutenant Colonel Military Firefighter
30205,Military firefighter captain
30305,Lieutenant of the military fire brigade
31105,Military Firefighter Sub-Lieutenant
31110,Military firefighter sergeant
31205,Military firefighter corporal
31210,Military Firefighter Soldier
111105,Senator
111110,Federal deputy
111115,State and district deputy
111120,Alderman
111205,President of the Republic
111210,Vice-President of the Republic
111215,Minister of State
111220,Executive Secretary
111225,Senior member of the executive branch
111230,State Governor
111235,Governor of the Federal District
111240,Deputy state governor
111245,Vice-governor of the federal district
111250,Mayor
111255,Deputy mayor
111305,Minister of the Federal Supreme Court
111310,Minister of the Superior Court of Justice
111315,Minister of the Superior Military Court
111320,Minister of the Superior Labor Court
111325,Judge
111330,Federal judge
111335,Federal Hearing Judge - Military Justice
111340,State Hearing Judge - Military Justice
111345,Labor Judge
111405,Head of the federal public service
111410,Head of state and district public service
111415,Municipal public service leader
111505,Public Policy and Government Management Specialist - eppgg
111510,Planning and Budget Analyst - apo
113005,Chief
113010,Caiçara Community Leader
113015,Member of quilombola leadership
114105,Leader of a political party
114205,Leader of a workers' organization
114210,Employer manager
114305,Leader and administrator of a religious organization
114405,Leader and administrator of a non-profit civil society organization
121005,Director of Strategic Planning
121010,Managing Director of Companies and Organizations (except Public Interest)
122105,Director of Production and Operations in an Agricultural Company
122110,Director of production and operations in an aquaculture company
122115,Director of production and operations in a forestry company
122120,Director of production and operations in a fishing company
122205,"Director of Production and Operations for the Manufacturing, Mineral Extraction and Utilities Industry"
122305,Director of Public Works and Civil Works Operations
122405,Director of commercial operations (wholesale and retail trade)
122505,Director of Production and Feed Operations
122510,Director of Hotel Production and Operations
122515,Director of Production and Tour Operations
122520,Tourism Specialist
122605,Director of Postal Operations
122610,Director of Storage Services Operations
122615,Director of Telecommunications Services Operations
122620,Director of Transportation Services Operations
122705,Commercial Director in Financial Intermediation Operations
122710,Director of Banking Products
122715,Director of rural credit
122720,Director of Foreign Exchange and Foreign Trade
122725,Chief Compliance Officer
122730,Credit director (except real estate loans)
122735,Real Estate Credit Director
122740,Leasing Director
122745,Capital Markets Director
122750,Director of credit recovery in financial intermediation operations
122755,Director of Market Risk
123105,Managing Director
123110,Administrative and Financial Director
123115,Chief Financial Officer
123205,Chief Human Resources Officer
123210,Director of Labor Relations
123305,Commercial Director
123310,Chief Marketing Officer
123405,Director of Procurement
123410,Director of Supplies in the Civil Service
123605,Chief Information Technology Officer
123705,Director of Research and Development (R&D)
123805,Maintenance Director
131105,Director of Cultural Services
131110,Director of Social Services
131115,Cultural Services Manager
131120,Social Services Manager
131205,Director of Health Services
131210,Health Services Manager
131215,Technologist in Hospital Management
131220,Gerontologist
131225,Sanitarian
131305,Director of a private educational institution
131310,Director of a public educational institution
131315,Manager of a private educational institution
131320,Public Area Educational Services Manager
141105,Aquaculture Production and Operations Manager
141110,Forest Production and Operations Manager
141115,Production and Operations Manager
141120,Production and Fisheries Operations Manager
141205,Production and Operations Manager
141305,Production and Operations Manager of Civil Construction and Public Works
141405,Wholesale Trader
141410,Retail Merchant
141415,Store and Supermarket Manager
141420,Technical Assistance Services Operations Manager
141505,Hotel Manager
141510,Restaurant Manager
141515,Bar Manager
141520,Pension Manager
141525,Tour Manager
141605,Transportation Operations Manager
141610,Post and Telecommunications Operations Manager
141615,Logistics Manager (Warehousing & Distribution)
141705,Banking Product Manager
141710,Branch Manager
141715,Foreign Exchange and Foreign Trade Manager
141720,Credit and Collection Manager
141725,Real Estate Credit Manager
141730,Rural Credit Manager
141735,Credit Recovery Manager
141805,Airport Administration Manager
141810,Airline Manager and Air Transport Auxiliary Services Company (ESATA) at Airports
141815,Airport Operations Manager
141820,Cargo Operations Manager
141825,Civil Aviation Security Manager
141830,Operational Safety Manager (Civil Aviation)
142105,Administrative Manager
142110,Risk Manager
142115,Financial Manager
142120,Technologist in Administrative-Financial Management
142125,Compliance Analyst
142130,Risk Analyst
142135,Personal Data Protection Officer (DPO)
142140,Facility Management Manager
142205,Human Resources Manager
142210,Personnel Department Manager
142305,Commercial Manager
142310,Communications Manager
142315,Marketing Manager
142320,Sales Manager
142325,Public relations
142330,Business Analyst
142335,Market Research Analyst
142340,Ombudsman
142345,Institutional and Government Relations Professional
142350,International Relations Professional
142355,E-commerce Analyst
142405,Purchasing Manager
142410,Procurement Manager
142415,Warehouse Manager
142505,Information Technology Infrastructure Manager
142510,Systems Development Manager
142515,Information Technology Operation Manager
142520,Information Technology Project Manager
142525,Information Security Manager
142530,Information Technology Technical Support Manager
142535,Information Technology Management Technologist
142605,Research and Development (R&D) Manager
142610,Cigarette Development Specialist
142705,Project and maintenance services manager
142710,Biomedical Systems Technologist
201105,Bioengineer
201110,Biotechnologist
201115,Geneticist
201205,Metrology researcher
201210,Specialist in metrological calibrations
201215,Specialist in metrological tests
201220,Specialist in Metrology Instrumentation
201225,Specialist in metrology reference materials
202105,Mechatronics Engineer
202110,Control and Automation Engineer
202115,Mechatronics Technologist
202120,Industrial Automation Technologist
203005,Researcher in environmental biology
203010,Researcher in animal biology
203015,Researcher in the biology of microorganisms and parasites
203020,Researcher in human biology
203025,Researcher in plant biology
203105,Researcher in computer science and informatics
203110,Researcher in Earth and Environmental Sciences
203115,Researcher in physics
203120,Researcher in mathematics
203125,Researcher in chemistry
203205,Civil Engineering Researcher
203210,Engineering and Technology Researcher (other areas of engineering)
203215,Electrical and Electronic Engineering Researcher
203220,Mechanical Engineering Researcher
203225,"Metallurgical, mining and materials engineering researcher"
203230,Chemical Engineering Researcher
203305,Internal Medicine Researcher
203310,Basic Medicine Researcher
203315,Researcher in veterinary medicine
203320,Researcher in public health
203405,Researcher in agronomic sciences
203410,Researcher in fisheries and aquaculture sciences
203415,Researcher in animal sciences
203420,Researcher in forest sciences
203505,Researcher in social sciences and humanities
203510,Researcher in economics
203515,Researcher in educational sciences
203520,Researcher in history
203525,Researcher in psychology
204105,Criminal expert
204110,Judicial expert
211105,Actuary
211110,Operations Research Specialist
211115,Mathematician
211120,Applied mathematician
211205,Statistical
211210,Statistical (applied statistics)
211215,Theoretical statistician
211220,Data Scientist
212205,Computer Application Engineer
212210,Computer Equipment Engineer
212215,Operating Systems Engineers in Computing
212305,Database Administrator
212310,Network Administrator
212315,Operating System Administrator
212320,Information Security Administrator
212405,Systems Development Analyst
212410,Network and Data Communication Analyst
212415,Automation Systems Analyst
212420,Computer Support Analyst
212425,Information Technology Solutions Architect
212430,Information Technology Testing Analyst
213105,Physical
213110,Physical (acoustics)
213115,Physical (atomic and molecular)
213120,Physicist (cosmology)
213125,Physicist (statistics and mathematics)
213130,Physical (fluids)
213135,Physical (instrumentation)
213140,Physical (condensed matter)
213145,Physical (materials)
213150,Physicist (medicine)
213155,Physical (nuclear and reactors)
213160,Physical (optical)
213165,Physical (particles and fields)
213170,Physical (plasma)
213175,Physical (thermal)
213205,Chemist
213210,Industrial Chemical
213215,Chemical Process Technologist
213305,Astronomer
213310,Space geophysicist
213315,Meteorologist
213405,Geologist
213410,Engineering Geologist
213415,Geophysical
213420,Geochemical
213425,Hydrogeologist
213430,Paleontologist
213435,Petrographer
213440,Oceanographer
214005,Environmental Engineer
214010,Environmental Technologist
214105,Building Architect
214110,Interior Architect
214115,Heritage Architect
214120,Landscape Architect
214125,Urban Architect
214130,Urbanist
214205,Civil Engineer
214210,Civil engineer (airports)
214215,Civil Engineer (Buildings)
214220,Civil Engineer (Steel Structures)
214225,Civil Engineer (Railways and Subways)
214230,Civil Engineer (Geotechnics)
214235,Civil Engineer (Hydrology)
214240,Civil Engineer (Hydraulics)
214245,Civil Engineer (Bridges and Viaducts)
214250,Civil Engineer (Ports and Waterways)
214255,Civil Engineer (Highways)
214260,Civil Engineer (Sanitation)
214265,Civil Engineer (Tunnels)
214270,Civil Engineer (Transport and Traffic)
214280,Construction Technologist
214305,Electrical Engineer
214310,Electronics Engineer
214315,Electrical Maintenance Engineer
214320,Electrical Project Engineer
214325,Maintenance Electronics Engineer
214330,Electronic Project Engineer
214335,Telecommunications Maintenance Engineer
214340,Telecommunications Engineer
214345,Telecommunications Design Engineer
214350,Communication Network Engineer
214360,Electrical Technologist
214365,Electronics Technologist
214370,Telecommunications Technologist
214375,Power Engineer
214380,Biomedical Engineer
214405,Mechanical Engineer
214410,Automotive Mechanical Engineer
214415,Mechanical Engineer (Nuclear Energy)
214420,Industrial Mechanical Engineer
214425,Aeronautical Engineer
214430,Marine Engineer
214435,Mechanical Manufacturing Technologist
214505,Chemical Engineer
214510,Chemical Engineer (Chemical Industry)
214515,"Chemical engineer (mining, metallurgy, steel, cement and ceramics)"
214520,Chemical Engineer (Pulp and Paper)
214525,Chemical Engineer (Petroleum and Rubber)
214530,Chemical Engineer (Utilities and Environment)
214535,Technologist in Sugar and Alcohol Production
214540,Textile Engineer
214605,Materials Engineer
214610,Metallurgical Engineer
214615,Metallurgy Technologist
214705,Mining Engineer
214710,Mining Engineer (Beneficiation)
214715,Mining Engineer (Open Pit Mining)
214720,Mining Engineer (Underground Mining)
214725,Mining Engineer (Mineral Research)
214730,Mining Engineer (Planning)
214735,Mining Engineer (process)
214740,Mining Engineer (Project)
214745,Oil & Gas Technologist
214750,Dimension stone technologist
214805,Surveyor Engineer
214810,Cartographer Engineer
214905,Production Engineer
214910,Quality Control Engineer
214915,Occupational Safety Engineer
214920,Risk Engineer
214925,Time and Motion Engineer
214930,Industrial Production Technologist
214935,Occupational Safety Technologist
214940,Occupational Hygienist
214945,Logistics Engineer
215105,Maneuvering and docking agent
215110,Merchant Marine Maneuver Captain
215115,Merchant Marine Commander
215120,Coordinator of operations to combat pollution in the waterway environment
215125,Merchant Marine Chief Officer
215130,Terminal Inspector
215135,Naval Inspector
215140,Merchant Marine Navigational Watch Officer
215145,Practical of merchant marine ports
215150,Naval surveyor
215205,Senior Engineer Officer of the Merchant Marine
215210,First Engineer Officer in the Merchant Navy
215215,Second Engineer Officer in the Merchant Marine
215220,Technical Superintendent in Waterway Transport
215305,Aircraft pilot
215310,Flight test pilot
215315,Flight Instructor
221105,Biologist
221205,Biomedical
222105,Agricultural Engineer
222110,Agronomist
222115,Fisheries Engineer
222120,Forest Engineer
222125,Agribusiness Technologist
222205,Food Engineer
222215,Food technologist
223204,Dental surgeon - auditor
223208,Dental surgeon - general practitioner
223212,Dental surgeon - endodontist
223216,Dental surgeon - epidemiologist
223220,Dental surgeon - stomatologist
223224,Dental surgeon - implantodontist
223228,Dental surgeon - geriatric dentist
223232,Dental surgeon - forensic dentist
223236,Dental surgeon - pediatric dentist
223240,Dental surgeon - orthopedist and orthodontist
223244,Dental surgeon - oral pathologist
223248,Dental surgeon - periodontist
223252,Dental surgeon - oral and maxillofacial prosthesis
223256,Dental surgeon - prosthodontist
223260,Dental surgeon - radiologist
223264,Dental surgeon - oral rehabilitator
223268,Dental surgeon - oral and maxillofacial traumatologist
223272,Collective health dental surgeon
223276,Dental surgeon - occupational dentistry
223280,Dental surgeon - dentistry
223284,Dental surgeon - temporomandibular disorder and orofacial pain
223288,Dental surgeon - dentistry for patients with special needs
223293,Family Health Strategy Dental Surgeon
223305,Veterinarian
223310,Animal Scientist
223405,Pharmacist
223415,Clinical Analyst Pharmacist
223420,Food Pharmacist
223425,Integrative and complementary pharmacist practices
223430,Public Health Pharmacist
223435,Industrial Pharmaceutical
223440,Pharmacist Toxicologist
223445,Hospital and clinical pharmacist
223505,Nurse
223510,Nurse Auditor
223515,Flight nurse
223520,Operating Room Nurse
223525,Intensive Care Nurse
223530,Occupational Nurse
223535,Nephrologist nurse
223540,Neonatologist Nurse
223545,Obstetric nurse
223550,Psychiatric nurse practitioner
223555,"Nurse, childcare and paediatric"
223560,Sanitary nurse
223565,Family Health Strategy Nurse
223570,Perfusionist
223575,Midwife
223580,Stoma Therapist Nurse
223585,Forensic nurse
223605,General Physiotherapist
223625,Respiratory Physiotherapist
223630,Neurofunctional Physiotherapist
223635,Functional traumato-orthopedic physiotherapist
223640,Osteopathic Physiotherapist
223645,Chiropractic Physical Therapist
223650,Acupuncturist Physiotherapist
223655,Sports Physical Therapist
223660,Occupational Physiotherapist
223705,Dietitian
223710,Nutritionist
223810,General Speech Therapist
223815,Educational Speech Therapist
223820,Speech Therapist in Audiology
223825,Speech Therapist in Dysphagia
223830,Language Pathologist
223835,Speech Therapist in Orofacial Motricity
223840,Speech-Language Pathologist in Public Health
223845,Speech Therapist in Voice
223905,Occupational therapist
223910,Orthoptist
223915,Psychomotor Therapist
224105,Physical Evaluator
224110,Ludomotrician
224115,Athlete Trainer
224120,Physical trainer
224125,Individual and team sports coach (except football)
224130,Laboratory technician and sports supervision
224135,Professional football coach
224140,Physical education professional in health
225103,Infectious disease physician
225105,Acupuncturist
225106,Coroner
225109,Nephrologist
225110,Allergist and immunologist
225112,Neurologist
225115,Angiologist
225118,Nutritionist
225120,Cardiologist
225121,Clinical Oncologist
225122,Pediatric Cancer Doctor
225124,Pediatrician
225125,Clinical Physician
225127,Pulmonologist
225130,Family and community doctor
225133,Psychiatrist
225135,Dermatologist
225136,Rheumatologist
225139,Public Health Doctor
225140,Occupational physician
225142,Family Health Strategy Physician
225145,Doctor in Traffic Medicine
225148,Pathologist
225150,Physician in Intensive Care Medicine
225151,Anesthesiologist
225154,Anthroposophical doctor
225155,Endocrinologist and metabologist
225160,Physiatrist
225165,Gastroenterologist
225170,General practitioner
225175,Medical geneticist
225180,Geriatrician
225185,Hematologist
225195,Homeopathic Doctor
225203,Doctor in vascular surgery
225210,Cardiovascular surgeon
225215,Head and neck surgeon
225220,Digestive System Surgeon
225225,General Surgeon
225230,Pediatric surgeon
225235,Plastic surgeon
225240,Thoracic surgeon
225250,Gynecologist and obstetrician
225255,Mastologist
225260,Neurosurgeon
225265,Ophthalmologist
225270,Orthopedist and traumatologist
225275,Otorhinolaryngologist
225280,Coloproctologist
225285,Urologist
225290,Surgical Cancer Doctor
225295,Hand surgeon
225305,Cytopathologist
225310,Doctor in endoscopy
225315,Doctor in nuclear medicine
225320,Doctor of Radiology and Diagnostic Imaging
225325,Pathologist
225330,Radiotherapist
225335,Clinical pathologist / laboratory medicine
225340,Hemotherapist
225345,Hyperbarista Doctor
225350,Clinical Neurophysiologist
225355,Interventional radiologist
226105,Chiropractor
226110,Osteopath
226305,Music Therapist
226310,Art Therapist
226315,Hippotherapist
226320,Naturologist
231105,Higher education teacher in early childhood education (four to six years old)
231110,Higher education teacher in early childhood education (zero to three years old)
231205,Elementary school youth and adult education teacher (first to fourth grade)
231210,Elementary school teacher (first to fourth grade)
231305,Elementary school teacher of exact and natural sciences
231310,Elementary school art education teacher
231315,Elementary school physical education teacher
231320,Elementary school geography teacher
231325,Elementary School History Teacher
231330,Modern foreign language teacher in elementary school
231335,Elementary school Portuguese language teacher
231340,Elementary school math teacher
232105,Art teacher in high school
232110,Biology teacher in high school
232115,Teacher of pedagogical subjects in high school
232120,High school physical education teacher
232125,Philosophy teacher in high school
232130,Physics teacher in high school
232135,Geography teacher in high school
232140,History teacher in high school
232145,Brazilian language and literature teacher in high school
232150,Modern foreign language teacher in high school
232155,Math teacher in high school
232160,Psychology teacher in high school
232165,Chemistry teacher in high school
232170,Sociology teacher in high school
233105,Professor of the environment
233110,Technical drawing teacher
233115,Professor of agricultural techniques
233120,Professor of commercial and secretarial techniques
233125,Professor of nursing techniques
233130,Professor of Industrial Techniques
233135,Professor of technology and technical calculus
233205,Agricultural learning and training instructor
233210,Industrial Learning & Training Instructor
233215,Apprenticeship and Commercial Training Instructor
233220,Agroforestry teaching and learning instructor
233225,Instructor teacher of teaching and learning in services
234105,Applied Mathematics Teacher (in Higher Education)
234110,Pure mathematics teacher (in higher education)
234115,Professor of statistics (in higher education)
234120,Computer Science Teacher (in Higher Education)
234125,Professor of Operations Research (in Higher Education)
234205,Physics teacher (higher education)
234210,Chemistry teacher (higher education)
234215,Professor of Astronomy (Higher Education)
234305,Professor of architecture
234310,Engineering professor
234315,Professor of geophysics
234320,Geology professor
234405,Professor of biological sciences in higher education
234410,Physical education teacher in higher education
234415,Professor of nursing in higher education
234420,Professor of Pharmacy and Biochemistry
234425,Physiotherapy professor
234430,Professor of speech therapy
234435,Professor of Medicine
234440,Professor of Veterinary Medicine
234445,Nutrition teacher
234450,Professor of dentistry
234455,Occupational therapy teacher
234460,Professor of Animal Science in Higher Education
234505,Professor of higher education in the area of didactics
234510,Professor of higher education in the area of educational guidance
234515,Professor of higher education in the area of educational research
234520,Higher education teacher in the area of teaching practice
234604,German Language Teacher
234608,Italian Language Teacher
234612,French language teacher
234616,English Language Teacher
234620,Spanish Language Teacher
234624,Portuguese Language Teacher
234628,Professor of Brazilian literature
234632,Professor of Portuguese Literature
234636,Professor of German Literature
234640,Professor of comparative literature
234644,Professor of Spanish Literature
234648,Professor of French Literature
234652,Professor of English Literature
234656,Professor of Italian Literature
234660,Professor of Modern Foreign Language Literature
234664,Teacher of other languages and literatures
234668,Modern Foreign Language Teacher
234672,Professor of Linguistics and Applied Linguistics
234676,Professor of Philology and Textual Criticism
234680,Semiotics teacher
234684,Professor of Literary Theory
234689,Brazilian Sign Language (Libras) Teacher
234705,Professor of anthropology in higher education
234710,Professor of Archivology in Higher Education
234715,Professor of library science in higher education
234720,Professor of political science in higher education
234725,Professor of social communication in higher education
234730,Professor of higher education law
234735,Professor of philosophy in higher education
234740,Professor of geography in higher education
234745,Professor of higher education history
234750,Journalism professor
234755,Professor of museology in higher education
234760,Professor of psychology in higher education
234765,Professor of social work in higher education
234770,Professor of sociology in higher education
234805,Professor of economics
234810,Professor of management
234815,Accounting professor
234905,Professor of performing arts in higher education
234910,Professor of visual arts in higher education (fine arts and multimedia)
234915,Music teacher in higher education
239205,Teacher of students with hearing impairment and deaf people
239210,Teacher of students with physical disabilities
239215,Teacher of students with mental disabilities
239220,Teacher of students with multiple disabilities
239225,Teacher of visually impaired students
239405,Pedagogical Coordinator
239410,Educational Counselor
239415,Pedagogue
239420,Teacher of audiovisual techniques and resources
239425,Psychopedagogue
239430,Teaching Supervisor
239435,Educational Designer
239440,Clinical Neuropsychopedagogue
239445,Institutional Neuropsychopedagogue
241005,Lawyer
241010,Company lawyer
241015,Lawyer (civil law)
241020,Lawyer (public law)
241025,Lawyer (criminal law)
241030,Lawyer (special areas)
241035,Lawyer (Labour Law)
241040,Legal Advisor
241205,Lawyer for the Union
241210,Municipal Prosecutor
241215,Attorney of the National Treasury
241220,State Attorney
241225,Municipal Attorney
241230,Federal prosecutor
241235,Foundational Attorney
241305,Marine Contract Registration Officer
241310,Civil registry officer of legal entities
241315,Civil Registry Officer of Natural Persons
241320,Distribution Registry Officer
241325,Real Estate Registry Officer
241330,Registry of Deeds and Documents Officer
241335,Notary Public
241340,Notary of protests
241405,Judging Counselor
242205,Prosecutor
242210,Prosecutor
242215,Military Justice Prosecutor
242220,Labor attorney
242225,Regional Prosecutor of the Republic
242230,Regional Labor Attorney
242235,Prosecutor
242240,Deputy Prosecutor of Military Justice
242245,Deputy Attorney General of the Republic
242250,Deputy Attorney General for Labor
242305,Police chief
242405,Public defender
242410,Legal aid attorney
242905,Intelligence Officer
242910,Technical Intelligence Officer
251105,Anthropologist
251110,Archaeologist
251115,Political scientist
251120,Sociologist
251205,Economist
251210,Agro-industrial economist
251215,Financial Economist
251220,Industrial Economist
251225,Public Sector Economist
251230,Environmental Economist
251235,Regional and urban economist
251305,Geographer
251405,Philosopher
251505,Educational Psychologist
251510,Clinical Psychologist
251515,Sports Psychologist
251520,Hospital Psychologist
251525,Legal Psychologist
251530,Social Psychologist
251535,Traffic psychologist
251540,Occupational Psychologist
251545,Neuropsychologist
251550,Psychoanalyst
251555,Acupuncturist Psychologist
251605,Social worker
251610,Domestic Economist
252105,Administrator
252205,Auditor (accountants and the like)
252210,Accountant
252215,Accounting expert
252305,Executive secretary
252310,Bilingual secretary
252315,Trilingual desk
252320,Technologist in school secretariat
252405,Human Resources Analyst
252505,Fund and Investment Portfolio Manager
252510,Foreign Exchange Analyst
252515,Collection Analyst (Financial Institutions)
252525,Credit Analyst (Financial Institutions)
252530,Rural Credit Analyst
252535,Leasing Analyst
252540,Banking Products Analyst
252545,Financial Analyst (Financial Institutions)
252550,Investor Relations Professional
252605,Manager in safety
252705,PCP Analyst (Production Programming and Control)
252710,Materials Planning Analyst
252715,Logistics Analyst
252720,Logistics Project Analyst
252725,Inventory Management Analyst
253110,Advertising copywriter
253115,Advertising
253120,Media Director (Advertising)
253125,Art Director (Advertising)
253130,Creative Director
253135,Account Director (Advertising)
253140,Advertising agent
253205,Funding Manager (Funds and Institutional Investments)
253210,Special Clients Manager (private)
253215,Account Manager - Individuals and Companies
253220,Large Account Manager (corporate)
253225,Business Operator
253305,"Broker of securities, financial assets, commodities and derivatives"
253405,Social Media Analyst
253410,Digital influencer
254105,Tax auditor of the Federal Revenue Service
254110,Federal Revenue Technician
254205,Social Security Tax Auditor
254305,Labor Inspector
254310,Hygiene and safety agent
254405,State tax inspector
254410,Municipal tax inspector
254415,State Tax Technician
254420,Municipal Tax Technician
254505,Urban Activities Inspector
261105,"Archivist, researcher (journalism)"
261110,Press officer
261115,Editor-in-chief
261120,Publisher
261125,Journalist
261130,Text Producer
261135,Reporter (radio and television excluded)
261140,Proofreader
261205,Librarian
261210,Documentalist
261215,Information Analyst (Network Information Researcher)
261305,Archivist
261310,Museologist
261405,Philologist
261410,Interpreter
261415,Linguist
261420,Translator
261425,Sign Language Interpreter
261430,Audio describer
261505,Author-screenwriter
261510,Critical
261515,Fiction writer
261520,Nonfiction Writer
261525,Poet
261530,Technical Text Writer
261605,Newspaper editor
261610,Book Editor
261615,Electronic Media Editor
261620,Magazine editor
261625,Scientific journal editor
261705,Audiovisual Media Anchor
261710,Audiovisual Media Commentator
261715,Audiovisual media announcer
261730,Audiovisual Media Reporter
261805,Photographer
261810,Advertising photographer
261815,Portrait photographer
261820,Photojournalist
261905,Continuist
261910,Assistant director (tv)
262105,Cultural producer
262110,Film producer
262115,Radio Producer
262120,Theater producer
262125,Television producer
262130,Technologist in phonographic production
262135,Technologist in audiovisual production
262205,Film director
262210,Director of Radio Programs
262215,Director of television programs
262220,Theater director
262225,Programming Director
262230,Production Director
262235,Artistic Director
262305,Carnival set designer and popular festivals
262310,Film set designer
262315,Event set designer
262320,Theater set designer
262325,TV set designer
262330,Art Director
262405,Artist (Visual Arts)
262410,Industrial Graphic Designer (Graphic Designer)
262415,Conservator-restorer of cultural assets
262420,Industrial Product Designer (Product Designer)
262425,Industrial Fashion Product Designer (Fashion Designer)
262505,Actor
262605,Composer
262610,Arranger musician
262615,Conducting musician
262620,Musicologist
262705,"Musician, performer, singer"
262710,"Musician, performer, instrumentalist"
262805,Choreography Assistant
262810,Dancer (except folk dances)
262815,Choreographer
262820,Dance playwright
262825,Dance Rehearser
262830,Dance teacher
262905,Top-level interior decorator
263105,Minister of Religious Worship
263110,Missionary
263115,Theologian
271105,Head Chef
271110,Technologist in gastronomy
300105,Mechatronics Technician - Manufacturing Automation
300110,Mechatronics Technician - Robotics
300305,Electromechanical Technician
301105,Industrial Laboratory Technician
301110,Laboratory technician of physicochemical analysis (building materials)
301115,Petroleum Chemical Technician
301205,Bioengineering Support Technician
311105,Chemical Technician
311110,Pulp and Paper Technician
311115,Tanning Technician
311205,Petrochemical Technician
311305,"Technician in materials, ceramic products and glass"
311405,Rubber Technician
311410,Plastic Technician
311505,Environmental Control Technician
311510,Meteorology Technician
311515,"Utility technician (production and distribution of steam, gases, oils, fuels, energy)"
311520,Wastewater Treatment Technician
311605,Textile technician
311610,Textile technician (chemical treatments)
311615,Textile Spinning Technician
311620,Knitting textile technician
311625,Weaving textile technician
311705,Paper Colorist
311710,Textile colorist
311715,Paint Preparer
311720,Paint Preparer (Fabric Factory)
311725,Dyeing of hides and skins
312105,Civil Works Technician
312205,Road Technician
312210,Sanitation technician
312305,Surveying Technician
312310,Geodesy and Cartography Technician
312315,Hydrography Technician
312320,Surveyor
313105,Electrotechnical
313110,Electrotechnical (energy production)
313115,"Electrotechnical in the manufacture, assembly and installation of machines and equipment"
313120,Electrical Maintenance Technician
313125,Electrical machine maintenance technician
313130,Electrical technician
